CD_CLIENTE,INADIMPLENTE,NM_MUN,SG_UF,SCORE,TEM_AUXILIO,TEM_BOLSAFAMILIA,NM_REGIAO,CD_UF,CD_MUN,PF_CNT,PF_VOL,PF_ITS,PF_TPR,PF_GRV,PF_MRC,PF_TDC,PF_FRQ,PF_VLR,PF_REC,PF_ETB,PF_MOD01,PF_MOD02,PF_MOD03,PF_MOD04,Bancarizado,OCUPACAO,IDADE,CD_MESO
12894,0,SAO JOSE DOS PINHAIS,PR,811,0,0,SUL,41,4125506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,4125
12895,0,CURITIBA,PR,762,0,0,SUL,41,4106902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,65,4106
12896,0,AMPARO,SP,552,0,0,SUDESTE,35,3501905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,3501
12897,0,CUPIRA,PE,728,0,0,NORDESTE,26,2605004,1.03,99.4,62.34,54.7,1,0,51,1,0,84.37,85.83,0,92.67,51,101,1,1,37,2605
12898,0,SAO PAULO,SP,871,0,0,SUDESTE,35,3550308,5.01,69.22,3.81,0,1,0,51,67.67,1,20.74,1,0,0,101,101,1,3,39,3550
12899,0,IPORA,PR,370,1,0,SUL,41,4110607,101,1,0,0,1,0,51,26,0,20.74,1,0,101,0,101,1,3,47,4110
12900,0,FRANCO DA ROCHA,SP,561,0,0,SUDESTE,35,3516408,19.44,77.94,0,0,1,0,51,1,0,54.7,98.68,0,0,17.67,92.67,1,3,39,3516
12901,0,BELFORD ROXO,RJ,614,0,0,SUDESTE,33,3300456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,3300
12902,0,ILHEUS,BA,478,1,0,NORDESTE,29,2913606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,2913
12903,0,SAO PAULO,SP,868,0,0,SUDESTE,35,3550308,1.03,100.2,0,28.29,1,0,51,9.33,0,30.13,1,0,101,0,101,1,3,38,3550
12904,0,UBERLANDIA,MG,589,0,0,SUDESTE,31,3170206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,58,3170
12905,0,SAO PAULO,SP,841,0,0,SUDESTE,35,3550308,42.18,4.61,0,0,1,0,51,26,0,10.97,1,0,0,0,101,1,3,37,3550
12906,0,RIBEIRAO PIRES,SP,334,0,0,SUDESTE,35,3543303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39,3543
12907,0,ITAPEVI,SP,497,0,0,SUDESTE,35,3522505,69.38,8.13,0,26.43,76,1,2.8,101,95.64,54.7,94.11,0,101,0,101,1,3,37,3522
12908,0,FORTALEZA,CE,701,0,0,NORDESTE,23,2304400,3.51,27.77,0,0,1,0,51,1,0,10.97,1,0,0,0,101,1,3,57,2304
12909,1,FORTALEZA,CE,298,0,0,NORDESTE,23,2304400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,2304
12910,0,GUARULHOS,SP,629,1,0,SUDESTE,35,3518800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,3518
12911,1,PINDAMONHANGABA,SP,421,0,0,SUDESTE,35,3538006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,3538
12912,0,SAO PAULO,SP,815,0,0,SUDESTE,35,3550308,1.03,57.3,0,0,1,0,51,1,0,20.74,1,0,0,0,101,1,3,39,3550
12913,0,SAO PAULO,SP,762,0,0,SUDESTE,35,3550308,1.03,57.59,0,0,1,0,51,1,0,10.97,1,0,0,0,101,1,3,37,3550
12914,0,SAO PAULO,SP,745,0,0,SUDESTE,35,3550308,1,99.21,100.5,70.63,16.69,1,89.08,101,96.68,89.54,95.74,0,101,101,101,1,3,58,3550
12915,0,MIRANDOPOLIS,SP,917,0,0,SUDESTE,35,3530102,1,100.2,1.62,0,1,0,51,1,0,10.97,101,0,0,92.67,101,1,3,39,3530
12916,0,CARAPICUIBA,SP,601,0,0,SUDESTE,35,3510609,1,18.9,1,96.79,1,0,51,1,0,20.74,1,0,101,51,0,1,3,35,3510
12917,0,ITAQUAQUECETUBA,SP,283,1,0,SUDESTE,35,3523107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,3523
12918,0,SAO PAULO,SP,711,1,0,SUDESTE,35,3550308,14.29,30.09,0,0,1,0,51,1,0,38.99,97.95,0,0,0,101,1,3,40,3550
12919,0,SAO PAULO,SP,629,1,0,SUDESTE,35,3550308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,3550
12920,0,GOIANIA,GO,881,0,0,CENTRO-OESTE,52,5208707,1,63.22,0,89.54,11,1,12.92,101,1,61.44,94.11,0,51,101,1,1,2,61,5208
12921,0,ANANINDEUA,PA,305,1,1,NORTE,15,1500800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,1500
12922,0,COTIA,SP,517,0,0,SUDESTE,35,3513009,0,0,26.37,0,0,0,0,0,0,10.97,1,0,0,101,0,1,3,38,3513
12923,0,GUARULHOS,SP,894,0,0,SUDESTE,35,3518800,1,99.99,1,0,1,0,74.11,51,0,38.99,67.4,0,0,34.33,101,1,3,39,3518
12924,1,CAJAMAR,SP,544,1,0,SUDESTE,35,3509205,74.94,2.54,1,8.98,10.09,1,27.89,67.67,9.86,20.74,1,0,67.67,51,0,1,2,36,3509
12925,0,VITORIA DA CONQUISTA,BA,839,0,0,NORDESTE,29,2933307,1,73.4,96.61,71.64,3.22,1,51,101,0,54.7,1,0,101,101,101,1,3,65,2933
12926,0,MARACAJU,MS,525,1,0,CENTRO-OESTE,50,5005400,101,0,0,0,0,1,51,101,0,0,1,0,1,0,0,1,3,66,5005
